Player,Nationality,Role,Team,Price,Season
Kagiso Rabada,South Africa,Bowler,PBKS,9.25,2023
Shreyas Iyer,India,Batter,KKR,12.25,2023
Faf du Plessis,South Africa,Batter,RCB,7,2023
Shikhar Dhawan,India,Batter,PBKS,8.25,2023
Quinton de Kock,South Africa,Wk-Batter,LSG,6.75,2023
Trent Boult,New Zealand,Bowler,RR,8,2023
Umran Malik,India,Bowler,SRH,4,2023
Abdul Samad,India,Allrounder,SRH,4,2023
Ravichandran Ashwin,India,Allrounder,RR,5,2023
Mohammed Siraj,India,Bowler,RCB,7,2023
Glenn Maxwell,Australia,Allrounder,RCB,11,2023
Virat Kohli,India,Batter,RCB,15,2023
Yashasvi Jaiswal,India,Batter,RR,4,2023
Jos Buttler,England,Wk-Batter,RR,10,2023
Sanju Samson,India,Wk-Batter,RR,14,2023
Arshdeep Singh,India,Bowler,PBKS,4,2023
Suryakumar Yadav,India,Batter,MI,8,2023
Jasprit Bumrah,India,Bowler,MI,12,2023
Akash Deep,India,Bowler,RCB,0.2,2023
Rohit Sharma,India,Batter,MI,16,2023
Dwaine Pretorius,South Africa,Allrounder,CSK,0.5,2023
KL Rahul,India,Wk-Batter,LSG,17,2023
Marcus Stoinis,Australia,Allrounder,LSG,9.2,2023
Sunil Narine,West Indies,Allrounder,KKR,6,2023
Venkatesh Iyer,India,Allrounder,KKR,8,2023
Ravindra Jadeja,India,Allrounder,CSK,16,2023
Varun Chakaravarthy,India,Bowler,KKR,8,2023
Andre Russell,West Indies,Allrounder,KKR,12,2023
Shubman Gill,India,Batter,GT,8,2023
Rashid Khan,Afghanistan,Bowler,GT,15,2023
Hardik Pandya,India,Allrounder,GT,15,2023
Anrich Nortje,South Africa,Bowler,DC,6.5,2023
Prithvi Shaw,India,Batter,DC,7.5,2023
MS Dhoni,India,Wk-Batter,CSK,12,2023
Moeen Ali,England,Allrounder,CSK,8,2023
Ruturaj Gaikwad,India,Batter,CSK,6,2023
Rishabh Pant,India,Wk-Batter,DC,16,2023
Axar Patel,India,Allrounder,DC,9,2023
Daryl Mitchell,Overseas,All-Rounder,Chennai Super Kings,14,2024
Sameer Rizvi,Indian,Batter,Chennai Super Kings,8.4,2024
Shardul Thakur,Indian,All-Rounder,Chennai Super Kings,4,2024
Mustafizur Rahman,Overseas,Bowler,Chennai Super Kings,2,2024
Rachin Ravindra,Overseas,All-Rounder,Chennai Super Kings,1.8,2024
Avanish Rao Aravelly,Indian,Wicket-Keeper,Chennai Super Kings,0.2,2024
Kumar Kushagra,Indian,Wicket-Keeper,Delhi Capitals,7.2,2024
Jhye Richardson,Overseas,Bowler,Delhi Capitals,5,2024
Harry Brook,Overseas,Batter,Delhi Capitals,4,2024
Sumit Kumar,Indian,All-Rounder,Delhi Capitals,1,2024
Shai Hope,Overseas,Wicket-Keeper,Delhi Capitals,0.75,2024
Tristan Stubbs,Overseas,Wicket-Keeper,Delhi Capitals,0.5,2024
Ricky Bhui,Indian,Wicket-Keeper,Delhi Capitals,0.2,2024
Swastik Chhikara,Indian,Batter,Delhi Capitals,0.2,2024
Rasikh Dar,Indian,Bowler,Delhi Capitals,0.2,2024
Spencer Johnson,Overseas,Bowler,Gujarat Titans,10,2024
Shahrukh Khan,Indian,All-Rounder,Gujarat Titans,7.4,2024
Umesh Yadav,Indian,Bowler,Gujarat Titans,5.8,2024
Robin Minz,Indian,Wicket-Keeper,Gujarat Titans,3.6,2024
Sushant Mishra,Indian,Bowler,Gujarat Titans,2.2,2024
Kartik Tyagi,Indian,Bowler,Gujarat Titans,0.6,2024
Azmatullah Omarzai,Overseas,All-Rounder,Gujarat Titans,0.5,2024
Manav Suthar,Indian,Bowler,Gujarat Titans,0.2,2024
Mitchell Starc,Overseas,Bowler,Kolkata Knight Riders,24.75,2024
Mujeeb Rahman,Overseas,Bowler,Kolkata Knight Riders,2,2024
Sherfane Rutherford,Overseas,Batter,Kolkata Knight Riders,1.5,2024
Gus Atkinson,Overseas,Bowler,Kolkata Knight Riders,1,2024
Manish Pandey,Indian,Batter,Kolkata Knight Riders,0.5,2024
K.S. Bharat,Indian,Wicket-Keeper,Kolkata Knight Riders,0.5,2024
Chetan Sakariya,Indian,Bowler,Kolkata Knight Riders,0.5,2024
Angkrish Raghuvanshi,Indian,Batter,Kolkata Knight Riders,0.2,2024
Ramandeep Singh,Indian,All-Rounder,Kolkata Knight Riders,0.2,2024
Sakib Hussain,Indian,Bowler,Kolkata Knight Riders,0.2,2024
Shivam Mavi,Indian,Bowler,Lucknow Super Giants,6.4,2024
M. Siddharth,Indian,Bowler,Lucknow Super Giants,2.4,2024
David Willey,Overseas,All-Rounder,Lucknow Super Giants,2,2024
Ashton Turner,Overseas,Batter,Lucknow Super Giants,1,2024
Arshin Kulkarni,Indian,All-Rounder,Lucknow Super Giants,0.2,2024
Mohd. Arshad Khan,Indian,All-Rounder,Lucknow Super Giants,0.2,2024
Gerald Coetzee,Overseas,All-Rounder,Mumbai Indians,5,2024
Nuwan Thushara,Overseas,Bowler,Mumbai Indians,4.8,2024
Dilshan Madushanka,Overseas,Bowler,Mumbai Indians,4.6,2024
Mohammad Nabi,Overseas,All-Rounder,Mumbai Indians,1.5,2024
Shreyas Gopal,Indian,Bowler,Mumbai Indians,0.2,2024
Shivalik Sharma,Indian,All-Rounder,Mumbai Indians,0.2,2024
Anshul Kamboj,Indian,All-Rounder,Mumbai Indians,0.2,2024
Naman Dhir,Indian,All-Rounder,Mumbai Indians,0.2,2024
Harshal Patel,Indian,All-Rounder,Punjab Kings,11.75,2024
Rilee Rossouw,Overseas,Batter,Punjab Kings,8,2024
Chris Woakes,Overseas,All-Rounder,Punjab Kings,4.2,2024
Tanay Thyagarajann,Indian,All-Rounder,Punjab Kings,0.2,2024
Vishwanath Pratap Singh,Indian,All-Rounder,Punjab Kings,0.2,2024
Ashutosh Sharma,Indian,All-Rounder,Punjab Kings,0.2,2024
Shashank Singh,Indian,Batter,Punjab Kings,0.2,2024
Prince Choudhary,Indian,Bowler,Punjab Kings,0.2,2024
Rovman Powell,Overseas,Batter,Rajasthan Royals,7.4,2024
Shubham Dubey,Indian,Batter,Rajasthan Royals,5.8,2024
Nandre Burger,Overseas,Bowler,Rajasthan Royals,0.5,2024
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,Rajasthan Royals,0.4,2024
Abid Mushtaq,Indian,All-Rounder,Rajasthan Royals,0.2,2024
Alzarri Joseph,Overseas,Bowler,Royal Challengers Bengaluru,11.5,2024
Yash Dayal,Indian,Bowler,Royal Challengers Bengaluru,5,2024
Lockie Ferguson,Overseas,Bowler,Royal Challengers Bengaluru,2,2024
Tom Curran,Overseas,All-Rounder,Royal Challengers Bengaluru,1.5,2024
Saurav Chuahan,Indian,Batter,Royal Challengers Bengaluru,0.2,2024
Swapnil Singh,Indian,All-Rounder,Royal Challengers Bengaluru,0.2,2024
Pat Cummins,Overseas,All-Rounder,Sunrisers Hyderabad,20.5,2024
Travis Head,Overseas,Batter,Sunrisers Hyderabad,6.8,2024
Jaydev Unadkat,Indian,Bowler,Sunrisers Hyderabad,1.6,2024
Wanindu Hasaranga,Overseas,All-Rounder,Sunrisers Hyderabad,1.5,2024
Jhathavedh Subramanyan,Indian,Bowler,Sunrisers Hyderabad,0.2,2024
Akash Singh,Indian,Bowler,Sunrisers Hyderabad,0.2,2024
Virat Kohli,Indian,Bat,RCB,21,2025
Rajat Patidar,Indian,Bat,RCB,11,2025
Yash Dayal,Indian,Bowl,RCB,5,2025
Jasprit Bumrah,Indian,Bowl,MI,18,2025
Suryakumar Yadav,Indian,Bat,MI,16.35,2025
Hardik Pandya,Indian,Ar,MI,16.35,2025
Rohit Sharma,Indian,Bat,MI,16.3,2025
Tilak Varma,Indian,Ar,MI,8,2025
Heinrich Klaasen,Overseas,Bat,SRH,23,2025
Pat Cummins,Overseas,Ar,SRH,18,2025
Abhishek Sharma,Indian,Ar,SRH,14,2025
Travis Head,Overseas,Bat,SRH,14,2025
Nitish Kumar Reddy,Indian,Ar,SRH,6,2025
Ruturaj Gaikwad,Indian,Bat,CSK,18,2025
Ravindra Jadeja,Indian,Ar,CSK,18,2025
Matheesha Pathirana,Overseas,Bowl,CSK,13,2025
Shivam Dube,Indian,Ar,CSK,12,2025
MS Dhoni,Indian,Bat,CSK,4,2025
Axar Patel,Indian,Ar,DC,16.5,2025
Kuldeep Yadav,Indian,Bowl,DC,13.25,2025
Tristan Stubbs,Overseas,Bat,DC,10,2025
Abishek Porel,Indian,Bat,DC,4,2025
Rinku Singh,Indian,Bat,KKR,13,2025
Varun Chakravarthy,Indian,Ar,KKR,12,2025
Sunil Narine,Overseas,Bowl,KKR,12,2025
Andre Russell,Overseas,Ar,KKR,12,2025
Harshit Rana,Indian,Bowl,KKR,4,2025
Ramandeep Singh,Indian,Ar,KKR,4,2025
Sanju Samson,Indian,Bat,RR,18,2025
Yashasvi Jaiswal,Indian,Ar,RR,18,2025
Riyan Parag,Indian,Ar,RR,14,2025
Dhruv Jurel,Indian,Bat,RR,14,2025
Shimron Hetmyer,Overseas,Bat,RR,11,2025
Sandeep Sharma,Indian,Bowl,RR,4,2025
Rashid Khan,Overseas,Bowl,GT,18,2025
Shubman Gill,Indian,Bat,GT,16.5,2025
Sai Sudharsan,Indian,Ar,GT,8.5,2025
Rahul Tewatia,Indian,Ar,GT,4,2025
M Shahrukh Khan,Indian,Ar,GT,4,2025
Nicholas Pooran,Overseas,Bat,LSG,21,2025
Ravi Bishnoi,Indian,Bowl,LSG,11,2025
Mayank Yadav,Indian,Bowl,LSG,11,2025
Mohsin Khan,Indian,Bowl,LSG,4,2025
Ayush Badoni,Indian,Ar,LSG,4,2025
Shashank Singh,Indian,Ar,PBKS,5.5,2025
Prabhsimran Singh,Indian,Bat,PBKS,4,2025
Jos Buttler,Overseas,Bat,GT,15.75,2025
Shreyas Iyer,Indian,Bat,PBKS,26.75,2025
Rishabh Pant,Indian,Bat,LSG,27,2025
Kagiso Rabada,Overseas,Bowl,GT,10.75,2025
Arshdeep Singh,Indian,Bowl,PBKS,18,2025
Mitchell Starc,Overseas,Bowl,DC,11.75,2025
Yuzvendra Chahal,Indian,Bowl,PBKS,18,2025
Liam Livingstone,Overseas,Ar,RCB,8.75,2025
David Miller,Overseas,Bat,LSG,7.5,2025
KL Rahul,Indian,Bat,DC,14,2025
Mohammed Shami,Indian,Bowl,SRH,10,2025
Mohammed Siraj,Indian,Bowl,GT,12.25,2025
Harry Brook,Overseas,Bat,DC,6.25,2025
Devon Conway,Overseas,Bat,CSK,6.25,2025
Jake Fraser-McGurk,Overseas,Bat,DC,9,2025
Aiden Markram,Overseas,Bat,LSG,2,2025
Devdutt Padikkal,Indian,Bat,RCB,2,2025
Rahul Tripathi,Indian,Bat,CSK,3.4,2025
David Warner,Overseas,Bat,-,,2025
Ravichandran Ashwin,Indian,Ar,CSK,9.75,2025
Venkatesh Iyer,Indian,Ar,KKR,23.75,2025
Mitchell Marsh,Overseas,Ar,LSG,3.4,2025
Glenn Maxwell,Overseas,Ar,PBKS,4.2,2025
Harshal Patel,Indian,Ar,SRH,8,2025
Rachin Ravindra,Indian,Ar,CSK,4,2025
Marcus Stoinis,Overseas,Ar,PBKS,11,2025
Jonny Bairstow,Overseas,Bat,-,,2025
Quinton de Kock,Overseas,Bat,KKR,3.6,2025
Rahmanullah Gurbaz,Overseas,Bat,KKR,2,2025
Ishan Kishan,Indian,Bat,SRH,11.25,2025
Phil Salt,Overseas,Bat,RCB,11.5,2025
Jitesh Sharma,Indian,Bat,RCB,11,2025
Khaleel Ahmed,Indian,Bowl,CSK,4.8,2025
Trent Boult,Overseas,Bowl,MI,12.5,2025
Josh Hazlewood,Overseas,Bowl,RCB,12.5,2025
Avesh Khan,Indian,Bowl,LSG,9.75,2025
Prasidh Krishna,Indian,Bowl,GT,9.5,2025
T Natarajan,Indian,Bowl,DC,10.75,2025
Anrich Nortje,Overseas,Bowl,KKR,6.5,2025
Noor Ahmad,Overseas,Bowl,CSK,10,2025
Rahul Chahar,Indian,Bowl,SRH,3.2,2025
Wanindu Hasaranga,Overseas,Bowl,RR,5.25,2025
Waqar Salamkheil,Overseas,Bowl,-,,2025
Maheesh Theekshana,Overseas,Bowl,RR,4.4,2025
Adam Zampa,Indian,Bowl,SRH,2.4,2025
Yash Dhull,,Bat,-,,2025
Abhinav Manohar,Indian,Bat,SRH,3.2,2025
Karun Nair,Indian,Bat,DC,0.5,2025
Angkrish Raghuvanshi,Indian,Bat,KKR,3,2025
Anmolpreet Singh,,Bat,-,,2025
Atharva Taide,Indian,Bat,SRH,0.3,2025
Nehal Wadhera,Indian,Bat,PBKS,4.2,2025
Harpreet Brar,Indian,Ar,PBKS,1.5,2025
Naman Dhir,Indian,Ar,MI,5.25,2025
Mahipal Lomror,Indian,Ar,GT,1.7,2025
Sameer Rizvi,Indian,Ar,DC,0.95,2025
Abdul Samad,Indian,Ar,LSG,4.2,2025
Vijay Shankar,Indian,Ar,CSK,1.2,2025
Ashutosh Sharma,Indian,Ar,DC,3.8,2025
Nishant Sindhu,Indian,Ar,GT,0.3,2025
Utkarsh Singh,,Ar,-,,2025
Aryan Juyal,Indian,Bat,LSG,0.3,2025
Kumar Kushagra,Indian,Bat,GT,0.65,2025
Robin Minz,Indian,Bat,MI,0.65,2025
Anuj Rawat,Indian,Bat,GT,0.3,2025
Luvnith Sisodia,Indian,Bat,KKR,0.3,2025
Vishnu Vinod,Indian,Bat,PBKS,0.95,2025
Upendra Yadav,,Bat,-,,2025
Vaibhav Arora,Indian,Bowl,KKR,1.8,2025
Rasikh Salam,Indian,Bowl,RCB,6,2025
Akash Madhwal,Indian,Bowl,RR,1.2,2025
Mohit Sharma,Indian,Bowl,DC,2.2,2025
Simarjeet Singh,Indian,Bowl,SRH,1.5,2025
Yash Thakur,Indian,Bowl,PBKS,1.6,2025
Kartik Tyagi,,Bowl,-,,2025
Vijaykumar Vyshak,Indian,Bowl,PBKS,1.8,2025
Piyush Chawla,,Bowl,-,,2025
Shreyas Gopal,Indian,Bowl,CSK,0.3,2025
Mayank Markande,Indian,Bowl,KKR,0.3,2025
Suyash Sharma,Indian,Bowl,RCB,2.6,2025
Karn Sharma,Indian,Bowl,MI,0.5,2025
Kumar Kartikeya,Indian,Bowl,RR,0.3,2025
Manav Suthar,Indian,Bowl,GT,0.3,2025
Mayank Agarawal,,Bat,-,,2025
Faf du Plessis,Overseas,Bat,DC,2,2025
Glenn Phillips,Overseas,Bat,GT,2,2025
Rovman Powell,Overseas,Bat,KKR,1.5,2025
Ajinkya Rahane,Indian,Bat,KKR,1.5,2025
Prithvi Shaw,,Bat,-,,2025
Kane Williamson,Overseas,Bat,-,,2025
Sam Curran,Overseas,Ar,CSK,2.4,2025
Marco Jansen,Overseas,Ar,PBKS,7,2025
Daryl Mitchell,Overseas,Ar,-,,2025
Krunal Pandya,Indian,Ar,RCB,5.75,2025
Nitish Rana,Indian,Ar,RR,4.2,2025
Washington Sundar,Indian,Ar,GT,3.2,2025
Shardul Thakur,,Ar,-,,2025
Srikar Bharat,,Bat,-,,2025
Alex Carey,Overseas,Bat,-,,2025
Donovan Ferreira,Overseas,Bat,DC,0.75,2025
Shai Hope,,Bat,-,,2025
Josh Inglis,Overseas,Bat,PBKS,2.6,2025
Ryan Rickelton,Overseas,Bat,MI,1,2025
Deepak Chahar,Indian,Bowl,MI,9.25,2025
Gerald Coetzee,Overseas,Bowl,GT,2.4,2025
Akash Deep,Indian,Bowl,LSG,8,2025
Tushar Deshpande,Indian,Bowl,RR,6.5,2025
Lockie Ferguson,Overseas,Bowl,PBKS,2,2025
Bhuvneshwar Kumar,Indian,Bowl,RCB,10.75,2025
Mukesh Kumar,Indian,Bowl,DC,8,2025
AM Ghazanfar,Indian,Bowl,MI,4.8,2025
Akeal Hosein,,Bowl,-,,2025
Keshav Maharaj,,Bowl,-,,2025
Mujeeb Ur Rahman,,Bowl,-,,2025
Adil Rashid,,Bowl,-,,2025
Vijayakanth Viyaskanth,,Bowl,-,,2025
Ricky Bhui,,Bat,-,,2025
Swastik Chikara,Indian,Bat,RCB,0.3,2025
Aarya Desai,,Bat,-,,2025
Shubham Dubey,Indian,Bat,RR,0.8,2025
Madhav Kaushik,,Bat,-,,2025
Pukhraj Mann,,Bat,-,,2025
Shaik Rasheed,Indian,Bat,CSK,0.3,2025
Himmat Singh,Indian,Bat,LSG,0.3,2025
Mayank Dagar,,Ar,-,,2025
Anshul Kamboj,Indian,Ar,CSK,3.4,2025
Arshad Khan,Overseas,Ar,GT,1.3,2025
Darshan Nalkande,Indian,Ar,DC,0.3,2025
Suyash Prabhudessai,,Ar,-,,2025
Anukul Roy,Indian,Ar,KKR,0.4,2025
Swapnil Singh,Indian,Ar,RCB,0.5,2025
Sanvir Singh,,Ar,-,,2025
Aravelly Avanish,,Bat,-,,2025
Vansh Bedi,Indian,Bat,CSK,0.55,2025
Saurav Chauhan,,Bat,-,,2025
Harvik Desai,,Bat,-,,2025
Tom Kohler-Cadmore,,Bat,-,,2025
Kunal Singh Rathore,Indian,Bat,RR,0.3,2025
BR Sharath,,Bat,-,,2025
Gurnoor Brar,Indian,Bowl,GT,1.3,2025
Mukesh Choudhary,Indian,Bowl,CSK,0.3,2025
Sakib Hussain,,Bowl,-,,2025
Vidwath Kaverappa,,Bowl,-,,2025
Rajan Kumar,,Bowl,-,,2025
Sushant Mishra,,Bowl,-,,2025
Arjun Tendulkar,Indian,Bowl,MI,0.3,2025
Zeeshan Ansari,Indian,Bowl,SRH,0.4,2025
Prince Choudhary,,Bowl,-,,2025
Himanshu Sharma,,Bowl,-,,2025
Manimaran Siddharth,Indian,Bowl,LSG,0.75,2025
Digvesh Singh,Indian,Bowl,LSG,0.3,2025
Prashant Solanki,,Bowl,-,,2025
Jhathavedh Subramanyan,,Bowl,-,,2025
Finn Allen,,Bat,-,,2025
Dewald Brevis,,Bat,-,,2025
Ben Duckett,,Bat,-,,2025
Manish Pandey,Indian,Bat,KKR,0.75,2025
Rilee Rossouw,,Bat,-,,2025
Sherfane Rutherford,Overseas,Bat,GT,2.6,2025
Ashton Turner,,Bat,-,,2025
James Vince,,Bat,-,,2025
Shahbaz Ahmed,Indian,Ar,LSG,2.4,2025
Moeen Ali,Overseas,Ar,KKR,2,2025
Tim David,Overseas,Ar,RCB,3,2025
Deepak Hooda,Indian,Ar,CSK,1.7,2025
Will Jacks,Overseas,Ar,MI,5.25,2025
Azmatullah Omarzai,Overseas,Ar,PBKS,2.4,2025
Sai Kishore,Indian,Ar,GT,2,2025
Romario Shepherd,Overseas,Ar,RCB,1.5,2025
Tom Banton,,Bat,-,,2025
Sam Billings,,Bat,-,,2025
Jordan Cox,,Bat,-,,2025
Ben McDermott,,Bat,-,,2025
Kusal Mendis,,Bat,-,,2025
Kusal Perera,,Bat,-,,2025
Josh Philippe,,Bat,-,,2025
Tim Seifert,,Bat,-,,2025
Nandre Burger,,Bowl,-,,2025
Spencer Johnson,Overseas,Bowl,KKR,2.8,2025
Umran Malik,Indian,Bowl,KKR,0.75,2025
Mustafizur Rahman,,Bowl,-,,2025
Ishant Sharma,Indian,Bowl,GT,0.75,2025
Nuwan Thushara,Indian,Bowl,RCB,1.6,2025
Naveen-ul-Haq,,Bowl,-,,2025
Jaydev Unadkat,Indian,Bowl,SRH,1,2025
Umesh Yadav,,Bowl,-,,2025
Rishad Hossain,,Bowl,-,,2025
Zahir Khan,,Bowl,-,,2025
Nqabayomzi Peter,,Bowl,-,,2025
Tanveer Sangha,,Bowl,-,,2025
Tabraiz Shamsi,,Bowl,-,,2025
Jeffrey Vandersay,,Bowl,-,,2025
Sachin Baby,Indian,Bat,SRH,0.3,2025
Priyam Garg,,Bat,-,,2025
Harnoor Singh,Indian,Bat,PBKS,0.3,2025
R Smaran,,Bat,-,,2025
Shashwat Rawat,,Bat,-,,2025
C Andre Siddarth,Indian,Bat,CSK,0.3,2025
Avneesh Sudha,,Bat,-,,2025
Apoorv Wankhade,,Bat,-,,2025
Yudhvir Singh,Indian,Ar,RR,0.35,2025
Rishi Dhawan,,Ar,-,,2025
Rajvardhan Hangargekar,Indian,Ar,LSG,0.3,2025
Tanush Kotian,,Ar,-,,2025
Arshin Kulkarni,Indian,Ar,LSG,0.3,2025
Shams Mulani,,Ar,-,,2025
Shivam Singh,,Ar,-,,2025
Lalit Yadav,,Ar,-,,2025
Mohammed Azharuddeen,,Bat,-,,2025
LR Chethan,,Bat,-,,2025
Aryaman Singh,,Bat,-,,2025
Urvil Patel,,Bat,-,,2025
Sanskar Rawat,,Bat,-,,2025
Bipin Saurabh,,Bat,-,,2025
Tanay Thyagarajan,,Bat,-,,2025
Money Grewal,,Bowl,-,,2025
Ashwani Kumar,Indian,Bowl,MI,0.3,2025
Ishan Porel,,Bowl,-,,2025
Abhilash Shetty,,Bowl,-,,2025
Akash Singh,Indian,Bowl,LSG,0.3,2025
Gurjapneet Singh,Indian,Bowl,CSK,2.2,2025
Basil Thampi,,Bowl,-,,2025
Murugan Ashwin,,Bowl,-,,2025
Shreyas Chavan,,Bowl,-,,2025
Chintal Gandhi,,Bowl,-,,2025
Raghav Goyal,,Bowl,-,,2025
Jagadeesha Suchith,,Bowl,-,,2025
Roshan Waghsare,,Bowl,-,,2025
Bailapudi Yeswanth,,Bowl,-,,2025
Sediqullah Atal,,Bat,-,,2025
Matthew Breetzke,Overseas,Bat,LSG,0.75,2025
Mark Chapman,,Bat,-,,2025
Brandon King,,Bat,-,,2025
Evin Lewis,,Bat,-,,2025
Pathum Nissanka,,Bat,-,,2025
Bhanuka Rajapaksa,,Bat,-,,2025
Steven Smith,,Bat,-,,2025
Gus Atkinson,,Ar,-,,2025
Tom Curran,,Ar,-,,2025
Krishnappa Gowtham,,Ar,-,,2025
Mohammad Nabi,,Ar,-,,2025
Gulbadin Naib,,Ar,-,,2025
Sikandar Raza,,Ar,-,,2025
Mitchell Santner,Overseas,Ar,MI,2,2025
Jayant Yadav,Indian,Ar,GT,0.75,2025
Johnson Charles,,Bat,-,,2025
Litton Das,,Bat,-,,2025
Andre Fletcher,,Bat,-,,2025
Tom Latham,,Bat,-,,2025
Ollie Pope,,Bat,-,,2025
Kyle Verreynne,,Bat,-,,2025
Fazalhaq Farooqi,Overseas,Bowl,RR,2,2025
Richard Gleeson,,Bowl,-,,2025
Matt Henry,,Bowl,-,,2025
Alzarri Joseph,,Bowl,-,,2025
Kwena Maphaka,Overseas,Bowl,RR,1.5,2025
Kuldeep Sen,Indian,Bowl,PBKS,0.8,2025
Reece Topley,Overseas,Bowl,MI,0.75,2025
Lizaad Williams,Overseas,Bowl,MI,0.75,2025
Luke Wood,,Bowl,-,,2025
Sachin Dhas,,Bat,-,,2025
Leus du Plooy,,Bat,-,,2025
Ashwin Hebbar,,Bat,-,,2025
Rohan  Kunnummal,,Bat,-,,2025
Ayush Pandey,,Bat,-,,2025
Akshat Raghuwanshi,,Bat,-,,2025
Shoun Roger,,Bat,-,,2025
Virat Singh,,Bat,-,,2025
Priyansh Arya,Indian,Ar,PBKS,3.8,2025
Manoj Bhandage,Indian,Ar,RCB,0.3,2025
Praveen Dubey,Indian,Ar,PBKS,0.3,2025
Ajay Mandal,Indian,Ar,DC,0.3,2025
Prerak Mankad,,Ar,-,,2025
Vipraj Nigam,Indian,Ar,DC,0.5,2025
Vicky Ostwal,,Ar,-,,2025
Shivalik Sharma,,Ar,-,,2025
Salil Arora,,Bat,-,,2025
Dinesh Bana,,Bat,-,,2025
Guruswamy Ajitesh,,Bat,-,,2025
Narayan Jagadeesan,,Bat,-,,2025
Krishnan Shrijith,Indian,Bat,MI,0.3,2025
Michael Pepper,,Bat,-,,2025
Vishnu Solanki,,Bat,-,,2025
KM Asif,,Bowl,-,,2025
Akhil Chaudhary,,Bowl,-,,2025
Himanshu Chauhan,,Bowl,-,,2025
Arpit Guleria,,Bowl,-,,2025
Saranu Nishanth,,Bowl,-,,2025
Kuldip Yadav,,Bowl,-,,2025
Prithvi Raj,,Bowl,-,,2025
Shubham Agarwal,,Bowl,-,,2025
Jasinder Singh,,Bowl,-,,2025
Jasmer Dhankhar,,Bowl,-,,2025
Pulkit Narang,,Bowl,-,,2025
Saumy Pandey,,Bowl,-,,2025
Mohit Rathee,Indian,Bowl,RCB,0.3,2025
Himanshu Singh,,Bowl,-,,2025
Towhid Hridoy,,Bat,-,,2025
Mikyle Louis,,Bat,-,,2025
Harry Tector,,Bat,-,,2025
Rassie van der Dussen,,Bat,-,,2025
Will Young,,Bat,-,,2025
Najibullah Zadran,,Bat,-,,2025
Ibrahim Zadran,,Bat,-,,2025
Sean Abbott,,Ar,-,,2025
Jacob Bethell,Overseas,Ar,RCB,2.6,2025
Brydon Carse,Overseas,Ar,SRH,1,2025
Aaron Hardie,Overseas,Ar,PBKS,1.25,2025
Sarfaraz Khan,,Ar,-,,2025
Kyle Mayers,,Ar,-,,2025
Kamindu Mendis,Overseas,Ar,SRH,0.75,2025
Matthew Short,,Ar,-,,2025
Jason Behrendorff,,Bowl,-,,2025
Dushmantha Chameera,Overseas,Bowl,DC,0.75,2025
Nathan Ellis,Overseas,Bowl,CSK,2,2025
Shamar Joseph,Overseas,Bowl,LSG,0.75,2025
Josh Little,,Bowl,-,,2025
Shivam Mavi,,Bowl,-,,2025
Jhye Richardson,,Bowl,-,,2025
Navdeep Saini,,Bowl,-,,2025
Tanmay Agarwal,,Bat,-,,2025
Amandeep Khare,,Bat,-,,2025
Ayush Mhatre,,Bat,-,,2025
Salman Nizar,,Bat,-,,2025
Aniket Verma,Indian,Bat,SRH,0.3,2025
Sumeet Verma,,Bat,-,,2025
Manan Vohra,,Bat,-,,2025
Samarth Vyas,,Bat,-,,2025
Raj Bawa,Indian,Ar,MI,0.3,2025
Emanjot Singh Chahal,,Ar,-,,2025
Musheer Khan,Indian,Ar,PBKS,0.3,2025
Manvanth Kumar,Indian,Ar,DC,0.3,2025
Mayank Rawat,,Ar,-,,2025
Suryansh Shedge,Indian,Ar,PBKS,0.3,2025
Hrithik Shokeen,,Ar,-,,2025
Sonu Yadav,,Ar,-,,2025
Rithik Easwaran,,Bat,-,,2025
Anmol Malhotra,,Bat,-,,2025
Pradosh Ranjan Paul,,Bat,-,,2025
Karteek Sharma,,Bat,-,,2025
Akash Singh,,Bat,-,,2025
Tejasvi Singh,,Bat,-,,2025
Siddarth Yadav,,Bat,-,,2025
Saurabh Dubey,,Bowl,-,,2025
Aaqib Khan,,Bowl,-,,2025
Kulwant Khejroliya,Indian,Bowl,GT,0.3,2025
Ankit Rajpoot,,Bowl,-,,2025
Divesh Sharma,,Bowl,-,,2025
Naman Tiwari,,Bowl,-,,2025
Prince Yadav,Indian,Bowl,LSG,0.3,2025
Kunal Singh Chibb,,Bowl,-,,2025
Yuvraj Chudasama,,Bowl,-,,2025
Deepak Devadiga,,Bowl,-,,2025
Ramesh Prasad,,Bowl,-,,2025
Shivam Shukla,,Bowl,-,,2025
Himanshu Singh,,Bowl,-,,2025
Tejpreet Singh,,Bowl,-,,2025
Qais Ahmad,,Ar,-,,2025
Charith Asalanka,,Ar,-,,2025
Michael Bracewell,,Ar,-,,2025
Gudakesh Motie,,Ar,-,,2025
Dan Mousley,,Ar,-,,2025
Jamie Overton,Overseas,Ar,CSK,1.5,2025
Dunith Wellalage,,Ar,-,,2025
Ottneil Baartman,,Bowl,-,,2025
Xavier Bartlett,Overseas,Bowl,PBKS,0.8,2025
Dilshan Madushanka,,Bowl,-,,2025
Adam Milne,,Bowl,-,,2025
Lungi Ngidi,Overseas,Bowl,RCB,1,2025
William O’Rourke,,Bowl,-,,2025
Chetan Sakariya,,Bowl,-,,2025
Sandeep Warrier,,Bowl,-,,2025
