Season,Player,Matches_Bowled,Balls_Bowled,Wickets_Taken,Runs_Conceded,Overs_Bowled,Bowling_Average,Economy_Rate,Strike_Rate
2022,KA Pollard,6,87,4,8,14.3,2.0,0.5517241379310345,21.75
2022,KH Pandya,12,232,11,8,38.4,0.7272727272727273,0.20689655172413796,21.09090909090909
2022,KK Ahmed,10,242,16,7,40.2,0.4375,0.17355371900826444,15.125
2022,KL Nagarkoti,1,13,0,1,2.1,0.0,0.46153846153846156,0.0
2022,KR Sen,7,157,8,10,26.1,1.25,0.38216560509554137,19.625
2022,Kartik Tyagi,2,54,1,6,9.0,6.0,0.6666666666666666,54.0
2022,Kuldeep Yadav,14,306,21,9,51.0,0.42857142857142855,0.17647058823529413,14.571428571428571
2022,LH Ferguson,13,298,16,22,49.4,1.375,0.4429530201342282,18.625
2022,LS Livingstone,12,144,6,6,24.0,1.0,0.25,24.0
2022,Lalit Yadav,8,110,4,4,18.2,1.0,0.2181818181818182,27.5
2022,M Ashwin,8,179,9,10,29.5,1.1111111111111112,0.335195530726257,19.88888888888889
2022,M Jansen,8,201,7,17,33.3,2.4285714285714284,0.5074626865671642,28.714285714285715
2022,M Markande,2,42,1,4,7.0,4.0,0.5714285714285714,42.0
2022,M Pathirana,2,48,2,15,8.0,7.5,1.875,24.0
2022,M Prasidh Krishna,17,432,21,59,72.0,2.8095238095238093,0.8194444444444444,20.571428571428573
2022,M Theekshana,9,212,12,8,35.2,0.6666666666666666,0.22641509433962262,17.666666666666668
2022,MJ Santner,6,114,4,5,19.0,1.25,0.2631578947368421,28.5
2022,MK Lomror,2,12,0,0,2.0,0.0,0.0,0.0
2022,MM Ali,10,146,8,4,24.2,0.5,0.16438356164383564,18.25
2022,MP Stoinis,5,44,4,2,7.2,0.5,0.27272727272727276,11.0
2022,MR Marsh,4,76,4,4,12.4,1.0,0.31578947368421056,19.0
2022,Mohammed Shami,16,378,21,31,63.0,1.4761904761904763,0.49206349206349204,18.0
2022,Mohammed Siraj,15,325,9,39,54.1,4.333333333333333,0.7200000000000001,36.111111111111114
2022,Mohsin Khan,9,206,14,17,34.2,1.2142857142857142,0.4951456310679611,14.714285714285714
2022,Mukesh Choudhary,13,291,16,19,48.3,1.1875,0.3917525773195876,18.1875
2022,Mustafizur Rahman,8,199,9,11,33.1,1.2222222222222223,0.3316582914572865,22.11111111111111
2022,N Rana,2,12,0,0,2.0,0.0,0.0,0.0
2022,NM Coulter-Nile,1,20,0,3,3.2,0.0,0.8999999999999999,0.0
2022,NT Ellis,2,40,4,6,6.4,1.5,0.8999999999999999,10.0
2022,Navdeep Saini,2,39,3,4,6.3,1.3333333333333333,0.6153846153846154,13.0
2022,OC McCoy,7,173,11,23,28.5,2.090909090909091,0.7976878612716763,15.727272727272727
2022,OF Smith,6,95,7,6,15.5,0.8571428571428571,0.37894736842105264,13.571428571428571
2022,PH Solanki,2,36,2,1,6.0,0.5,0.16666666666666666,18.0
2022,PJ Cummins,5,127,8,19,21.1,2.375,0.8976377952755905,15.875
2022,PJ Sangwan,3,56,3,3,9.2,1.0,0.3214285714285714,18.666666666666668
2022,PVD Chameera,12,278,11,27,46.2,2.4545454545454546,0.5827338129496402,25.272727272727273
2022,PWH de Silva,16,346,27,14,57.4,0.5185185185185185,0.24277456647398846,12.814814814814815
2022,R Ashwin,17,419,13,21,69.5,1.6153846153846154,0.30071599045346065,32.23076923076923
2022,R Dhawan,6,119,6,13,19.5,2.1666666666666665,0.6554621848739496,19.833333333333332
2022,R Parag,4,26,1,2,4.2,2.0,0.46153846153846156,26.0
2022,R Powell,1,7,0,1,1.1,0.0,0.8571428571428571,0.0
2022,R Sai Kishore,5,98,6,3,16.2,0.5,0.1836734693877551,16.333333333333332
