Season,Player,Matches_Batted,Innings_Batted,Runs_Scored,Balls_Faced,Dismissals,Batting_Average,Strike_Rate
2018,Imran Tahir,1,2,2,2,0,2.0,100.0
2018,Ishan Kishan,12,187,275,187,12,22.916666666666668,147.05882352941177
2018,JC Archer,6,21,15,21,5,3.0,71.42857142857143
2018,JC Buttler,13,365,548,365,10,54.8,150.13698630136986
2018,JD Unadkat,5,38,49,38,3,16.333333333333332,128.94736842105263
2018,JJ Bumrah,3,11,10,11,1,10.0,90.9090909090909
2018,JJ Roy,5,98,120,98,4,30.0,122.44897959183673
2018,JP Duminy,2,46,36,46,0,36.0,78.26086956521739
2018,JPR Scantlebury-Searles,2,6,8,6,1,8.0,133.33333333333331
2018,K Gowtham,13,67,126,67,8,15.75,188.05970149253733
2018,KA Pollard,8,104,133,104,7,19.0,127.88461538461537
2018,KD Karthik,16,349,498,349,9,55.333333333333336,142.69340974212034
2018,KH Pandya,13,164,228,164,9,25.333333333333332,139.02439024390242
2018,KK Nair,12,225,301,225,12,25.083333333333332,133.77777777777777
2018,KL Rahul,14,426,659,426,12,54.916666666666664,154.69483568075117
2018,KM Jadhav,1,23,24,23,0,24.0,104.34782608695652
2018,KS Williamson,17,522,735,522,14,52.5,140.80459770114942
2018,Kuldeep Yadav,3,25,12,25,1,12.0,48.0
2018,LE Plunkett,2,3,1,3,1,1.0,33.33333333333333
2018,M Ashwin,1,2,1,2,1,1.0,50.0
2018,M Markande,6,25,21,25,2,10.5,84.0
2018,M Prasidh Krishna,1,5,1,5,0,1.0,20.0
2018,M Vijay,1,11,12,11,1,12.0,109.09090909090908
2018,M Vohra,4,50,55,50,4,13.75,110.00000000000001
2018,MA Agarwal,11,94,120,94,10,12.0,127.65957446808511
2018,MA Wood,1,5,1,5,1,1.0,20.0
2018,MG Johnson,2,11,16,11,0,16.0,145.45454545454547
2018,MJ McClenaghan,4,12,11,12,2,5.5,91.66666666666666
2018,MK Lomror,2,21,20,21,1,20.0,95.23809523809523
2018,MK Pandey,13,257,284,257,11,25.818181818181817,110.50583657587549
2018,MK Tiwary,4,45,47,45,3,15.666666666666666,104.44444444444446
2018,MM Ali,4,46,77,46,4,19.25,167.3913043478261
2018,MM Sharma,4,14,10,14,0,10.0,71.42857142857143
2018,MP Stoinis,7,78,99,78,4,24.75,126.92307692307692
2018,MS Dhoni,15,321,455,321,6,75.83333333333333,141.74454828660436
2018,Mandeep Singh,13,193,252,193,9,28.0,130.5699481865285
2018,Mohammad Nabi,2,12,18,12,2,9.0,150.0
2018,Mohammed Shami,1,6,7,6,1,7.0,116.66666666666667
2018,Mohammed Siraj,3,23,25,23,1,25.0,108.69565217391303
